Date time,Home (kW),Solar (kW),Powerwall (kW),Grid (kW),Energy Remaining (%)
2022-08-30T00:00:00-07:00,0.5,0,0,0.5,19
2022-08-30T00:05:00-07:00,0.6,0,0,0.6,
2022-08-30T00:10:00-07:00,0.6,0,0,0.6,
2022-08-30T00:15:00-07:00,0.6,0,0,0.6,19
2022-08-30T00:20:00-07:00,0.5,0,0,0.5,
2022-08-30T00:25:00-07:00,0.5,0,0,0.5,
2022-08-30T00:30:00-07:00,0.4,0,0,0.4,19
2022-08-30T00:35:00-07:00,0.4,0,0,0.4,
2022-08-30T00:40:00-07:00,0.5,0,0,0.5,
2022-08-30T00:45:00-07:00,0.5,0,0,0.5,19
2022-08-30T00:50:00-07:00,0.4,0,0,0.4,
2022-08-30T00:55:00-07:00,0.5,0,0,0.5,
2022-08-30T01:00:00-07:00,0.5,0,0,0.5,19
2022-08-30T01:05:00-07:00,0.5,0,0,0.5,
2022-08-30T01:10:00-07:00,0.4,0,0,0.4,
2022-08-30T01:15:00-07:00,0.4,0,0,0.4,19
2022-08-30T01:20:00-07:00,0.4,0,0,0.4,
2022-08-30T01:25:00-07:00,0.4,0,0,0.4,
2022-08-30T01:30:00-07:00,0.5,0,0,0.5,18
2022-08-30T01:35:00-07:00,0.6,0,0,0.6,
2022-08-30T01:40:00-07:00,0.5,0,0,0.5,
2022-08-30T01:45:00-07:00,0.5,0,0,0.5,18
2022-08-30T01:50:00-07:00,0.5,0,0,0.5,
2022-08-30T01:55:00-07:00,0.4,0,0,0.4,
2022-08-30T02:00:00-07:00,0.4,0,0,0.4,18
2022-08-30T02:05:00-07:00,0.4,0,0,0.4,
2022-08-30T02:10:00-07:00,0.4,0,0,0.4,
2022-08-30T02:15:00-07:00,0.5,0,0,0.5,18
2022-08-30T02:20:00-07:00,0.6,0,0,0.6,
2022-08-30T02:25:00-07:00,0.7,0,0,0.7,
2022-08-30T02:30:00-07:00,0.5,0,0,0.5,18
2022-08-30T02:35:00-07:00,0.6,0,0,0.6,
