Date time,Home (kW),Solar (kW),Powerwall (kW),Grid (kW),Energy Remaining (%)
2022-09-25T00:00:00-07:00,1.1,0,1.1,0,33
2022-09-25T00:05:00-07:00,1.5,0,1.5,0,
2022-09-25T00:10:00-07:00,1.4,0,1.4,0,
2022-09-25T00:15:00-07:00,1.4,0,1.4,0,32
2022-09-25T00:20:00-07:00,1.3,0,1.3,0,
2022-09-25T00:25:00-07:00,1.2,0,1.2,0,
2022-09-25T00:30:00-07:00,1.3,0,1.3,0,30
2022-09-25T00:35:00-07:00,1.2,0,1.2,0,
2022-09-25T00:40:00-07:00,1.3,0,1.3,0,
2022-09-25T00:45:00-07:00,1.2,0,1.2,0,29
2022-09-25T00:50:00-07:00,1.5,0,1.5,0,
2022-09-25T00:55:00-07:00,1.2,0,1.2,0,
2022-09-25T01:00:00-07:00,1.2,0,1.2,0,28
2022-09-25T01:05:00-07:00,1.3,0,1.3,0,
2022-09-25T01:10:00-07:00,1.3,0,1.3,0,
2022-09-25T01:15:00-07:00,1.1,0,1.1,0,26
2022-09-25T01:20:00-07:00,1.3,0,1.3,0,
2022-09-25T01:25:00-07:00,1.3,0,1.3,0,
2022-09-25T01:30:00-07:00,1.3,0,1.3,0,25
2022-09-25T01:35:00-07:00,1.2,0,1.2,0,
2022-09-25T01:40:00-07:00,1.3,0,1.4,-0.1,
2022-09-25T01:45:00-07:00,1.5,0,1.5,0,24
2022-09-25T01:50:00-07:00,1.1,0,1.1,0,
2022-09-25T01:55:00-07:00,1.1,0,1.1,0,
2022-09-25T02:00:00-07:00,1.3,0,1.3,0,23
2022-09-25T02:05:00-07:00,1.2,0,1.0,0.1,
2022-09-25T02:10:00-07:00,1.3,0,1.3,0,
2022-09-25T02:15:00-07:00,1.1,0,1.1,0,21
2022-09-25T02:20:00-07:00,1.3,0,1.3,0,
2022-09-25T02:25:00-07:00,1.3,0,1.3,0,
2022-09-25T02:30:00-07:00,1.2,0,1.2,0,20
2022-09-25T02:35:00-07:00,1.4,0,1.4,0,
2022-09-25T02:40:00-07:00,1.2,0,0,1.2,
2022-09-25T02:45:00-07:00,1.2,0,0,1.2,20
2022-09-25T02:50:00-07:00,1.4,0,0,1.4,
2022-09-25T02:55:00-07:00,1.1,0,0,1.1,
2022-09-25T03:00:00-07:00,1.1,0,0,1.1,19
2022-09-25T03:05:00-07:00,1.3,0,0,1.3,
2022-09-25T03:10:00-07:00,1.1,0,0,1.1,
2022-09-25T03:15:00-07:00,1.0,0,0,1.0,19
2022-09-25T03:20:00-07:00,1.2,0,0,1.2,
2022-09-25T03:25:00-07:00,1.2,0,0,1.2,
2022-09-25T03:30:00-07:00,1.1,0,0,1.1,19
